"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","med_option_recent","rev_type_new"
"11",2022,"0001","426","0007",NA,"9999","JACKSONVILLE CORRECTION CTR",1422.06,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","JACKSONVILLE CORRECTION CTR","36",".",NA,0,NA,0,"36"
"12",2021,"0001","426","0008",NA,NA,"SOUTHWESTERN IL CORRECT CENTER",20,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","SOUTHWESTERN IL CORRECT CENTER","36",".",NA,0,NA,0,"36"
"13",2022,"0001","426","0008",NA,"9999","SOUTHWESTERN IL CORRECT CENTER",25.68,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","SOUTHWESTERN IL CORRECT CENTER","36",".",NA,0,NA,0,"36"
"14",2021,"0001","426","0009",NA,NA,"GRAHAM CORRECTIONAL CENTER",3969.44,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","GRAHAM CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"15",2022,"0001","426","0009",NA,"9999","GRAHAM CORRECTIONAL CENTER",4142.05,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","GRAHAM CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"16",2021,"0001","426","0011",NA,NA,"LOGAN CORRECTIONAL CENTER",1364.12,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","LOGAN CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"17",2022,"0001","426","0011",NA,"9999","LOGAN CORRECTIONAL CENTER",25145.8,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","LOGAN CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"18",2021,"0001","426","0012",NA,NA,"MENARD CORRECTIONAL CENTER",2446.88,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","MENARD CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"19",2022,"0001","426","0012",NA,"9999","MENARD CORRECTIONAL CENTER",55820.75,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","MENARD CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"20",2021,"0001","426","0014",NA,NA,"BIG MUDDY RIVER CORRECT CTR",118.28,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","BIG MUDDY RIVER CORRECT CTR","36",".",NA,0,NA,0,"36"
"21",2022,"0001","426","0014",NA,"9999","BIG MUDDY RIVER CORRECT CTR",115.48,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","BIG MUDDY RIVER CORRECT CTR","36",".",NA,0,NA,0,"36"
"22",2021,"0001","426","0015",NA,NA,"LINCOLN CORRECTIONAL CENTER",4491.18,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","LINCOLN CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"23",2022,"0001","426","0015",NA,"9999","LINCOLN CORRECTIONAL CENTER",1286.66,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","LINCOLN CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"24",2021,"0001","426","0016",NA,NA,"DANVILLE CORRECTIONAL CENTER",1501.74,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","DANVILLE CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"25",2022,"0001","426","0016",NA,"9999","DANVILLE CORRECTIONAL CENTER",4521.15,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","DANVILLE CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"26",2021,"0001","426","0017",NA,NA,"PONTIAC CORRECTIONAL CENTER",4695.16,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PONTIAC CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"27",2022,"0001","426","0017",NA,"9999","PONTIAC CORRECTIONAL CENTER",5669.26,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PONTIAC CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"28",2021,"0001","426","0018",NA,NA,"DIXON CORRECTIONAL CENTER",8990.31,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","DIXON CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"29",2022,"0001","426","0018",NA,"9999","DIXON CORRECTIONAL CENTER",13650.37,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","DIXON CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"30",2021,"0001","426","0019",NA,NA,"IL RIVER CORRECTIONAL CENTER",23874.47,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","IL RIVER CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"31",2022,"0001","426","0019",NA,"9999","IL RIVER CORRECTIONAL CENTER",3724.17,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","IL RIVER CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"32",2021,"0001","426","0020",NA,NA,"HILL CORRECTIONAL CENTER",1545.68,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","HILL CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"33",2022,"0001","426","0020",NA,"9999","HILL CORRECTIONAL CENTER",2599.36,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","HILL CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"34",2021,"0001","426","0022",NA,NA,"SHERIDAN CORRECTIONAL CENTER",163.75,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","SHERIDAN CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"35",2022,"0001","426","0022",NA,"9999","SHERIDAN CORRECTIONAL CENTER",13478.66,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","SHERIDAN CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"36",2021,"0001","426","0023",NA,NA,"STATEVILLE CORRECTIONAL CTR",15537.31,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","STATEVILLE CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"37",2022,"0001","426","0023",NA,"9999","STATEVILLE CORRECTIONAL CTR",26325.08,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","STATEVILLE CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"38",2021,"0001","426","0024",NA,NA,"ROBINSON CORRECTIONAL CENTER",1276.61,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ROBINSON CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"39",2022,"0001","426","0024",NA,"9999","ROBINSON CORRECTIONAL CENTER",2901.64,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ROBINSON CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"40",2021,"0001","426","0025",NA,NA,"VANDALIA CORRECTIONAL CENTER",2372.08,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","VANDALIA CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"41",2022,"0001","426","0025",NA,"9999","VANDALIA CORRECTIONAL CENTER",2151.05,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","VANDALIA CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"42",2021,"0001","426","0026",NA,NA,"E. MOLINE CORRECTIONAL CTR",4378.63,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","E. MOLINE CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"43",2022,"0001","426","0026",NA,"9999","E. MOLINE CORRECTIONAL CTR",8157.07,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","E. MOLINE CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"44",2021,"0001","426","0027",NA,NA,"VIENNA CORRECTIONAL CENTER",1421.69,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","VIENNA CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"45",2022,"0001","426","0027",NA,"9999","VIENNA CORRECTIONAL CENTER",1004.45,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","VIENNA CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"46",2021,"0001","426","0028",NA,NA,"SHAWNEE CORRECTIONAL CENTER",2377.67,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","SHAWNEE CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"47",2022,"0001","426","0028",NA,"9999","SHAWNEE CORRECTIONAL CENTER",3894.01,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","SHAWNEE CORRECTIONAL CENTER","36",".",NA,0,NA,0,"36"
"48",2021,"0001","426","0030",NA,NA,"TAYLORVILLE CORRECTIONAL CTR",781.1,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","TAYLORVILLE CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"49",2022,"0001","426","0030",NA,"9999","TAYLORVILLE CORRECTIONAL CTR",6507.07,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","TAYLORVILLE CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"50",2021,"0001","426","0031",NA,NA,"WESTERN IL. CORRECTIONAL CTR",676.36,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","WESTERN IL. CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"51",2022,"0001","426","0031",NA,"9999","WESTERN IL. CORRECTIONAL CTR",2883.92,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","WESTERN IL. CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"52",2021,"0001","492","0036",NA,NA,"AUTO RENTING TAX-STATE",31753840.51,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","AUTO RENTING TAX-STATE","06",".",NA,0,NA,0,"06"
"53",2022,"0001","492","0036",NA,"9999","AUTO RENTING TAX-STATE",45026200.97,"rev_ioc_22.08.01","GENERAL REVENUE","REVENUE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","AUTO RENTING TAX-STATE","06",".",NA,0,NA,0,"06"
"54",2021,"0001","492","0037",NA,NA,"BINGO LICENSE FEES",80125,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","BINGO LICENSE FEES","39",".",NA,0,NA,0,"39"
"55",2022,"0001","492","0037",NA,"9999","BINGO LICENSE FEES",104631.95,"rev_ioc_22.08.01","GENERAL REVENUE","REVENUE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","BINGO LICENSE FEES","39",".",NA,0,NA,0,"39"
"56",2021,"0085","492","0039",NA,NA,"CHARITABLE GAME LICENSE FEES",53250,NA,"IL GAMING LAW ENFORCEMENT","REVENUE","D","SPECIAL STATE FUNDS","0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","CHARITABLE GAME LICENSE FEES","39",".",NA,0,NA,0,"39"
"57",2022,"0085","492","0039",NA,"9999","CHARITABLE GAME LICENSE FEES",76800,"rev_ioc_22.08.01","IL GAMING LAW ENFORCEMENT","REVENUE",NA,NA,"0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","CHARITABLE GAME LICENSE FEES","39",".",NA,0,NA,0,"39"
"58",2021,"0050","492","0040",NA,NA,"BINGO TAX",95853.66,NA,"MENTAL HEALTH","REVENUE","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","BINGO TAX","35",".",NA,0,NA,0,"35"
"59",2022,"0050","492","0040",NA,"9999","BINGO TAX",458820.88,"rev_ioc_22.08.01","MENTAL HEALTH","REVENUE",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","BINGO TAX","35",".",NA,0,NA,0,"35"
"60",2021,"0412","492","0041",NA,NA,"BINGO TAX",95853.64,NA,"COMMON SCHOOL","REVENUE","A","GENERAL FUNDS","0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","BINGO TAX","35",".",NA,0,NA,0,"35"
"61",2022,"0412","492","0041",NA,"9999","BINGO TAX",458820.96,"rev_ioc_22.08.01","COMMON SCHOOL","REVENUE",NA,NA,"0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","BINGO TAX","35",".",NA,0,NA,0,"35"
"62",2021,"0085","492","0043",NA,NA,"CHARITABLE GAMES TAX",181352.73,NA,"IL GAMING LAW ENFORCEMENT","REVENUE","D","SPECIAL STATE FUNDS","0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","CHARITABLE GAMES TAX","35",".",NA,0,NA,0,"35"
"63",2022,"0085","492","0043",NA,"9999","CHARITABLE GAMES TAX",287635.58,"rev_ioc_22.08.01","IL GAMING LAW ENFORCEMENT","REVENUE",NA,NA,"0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","CHARITABLE GAMES TAX","35",".",NA,0,NA,0,"35"
"64",2021,"0001","592","0044",NA,NA,"BOILER INSPECTION FEES",1622129,NA,"GENERAL REVENUE","OFFICE OF THE STATE FIRE MARSH","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","BOILER INSPECTION FEES","39",".",NA,0,NA,0,"39"
"65",2021,"0047","592","0044",NA,NA,"BOILER INSPECTION FEES",2484696.07,NA,"FIRE PREVENTION","OFFICE OF THE STATE FIRE MARSH","D","SPECIAL STATE FUNDS","0047","0047","0",NA,"1","FIRE PREVENTION","D","Special State Funds","1","1","BOILER INSPECTION FEES","39",".",NA,0,NA,0,"39"
"66",2022,"0001","592","0044",NA,"9999","BOILER INSPECTION FEES",1488200,"rev_ioc_22.08.01","GENERAL REVENUE","OFFICE OF THE STATE FIRE MARSH",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","BOILER INSPECTION FEES","39",".",NA,0,NA,0,"39"
"67",2022,"0047","592","0044",NA,"9999","BOILER INSPECTION FEES",2164907.04,"rev_ioc_22.08.01","FIRE PREVENTION","OFFICE OF THE STATE FIRE MARSH",NA,NA,"0047","0047","0",NA,"1","FIRE PREVENTION","D","Special State Funds","1","1","BOILER INSPECTION FEES","39",".",NA,0,NA,0,"39"
"68",2021,"0543","360","0045",NA,NA,"BURIAL   TRUST",12245,NA,"COMPTROLLER'S ADMINISTRATIVE","COMPTROLLER","D","SPECIAL STATE FUNDS","0543","0543","0",NA,"1","COMPTROLLER'S ADMINISTRATIVE","D","Special State Funds","1","1","BURIAL   TRUST","36",".",NA,0,NA,0,"36"
"69",2022,"0543","360","0045",NA,"9999","BURIAL   TRUST",12120,"rev_ioc_22.08.01","COMPTROLLER'S ADMINISTRATIVE","COMPTROLLER",NA,NA,"0543","0543","0",NA,"1","COMPTROLLER'S ADMINISTRATIVE","D","Special State Funds","1","1","BURIAL   TRUST","36",".",NA,0,NA,0,"36"
"70",2021,"0543","360","0046",NA,NA,"CEMETERY CARE",26225,NA,"COMPTROLLER'S ADMINISTRATIVE","COMPTROLLER","D","SPECIAL STATE FUNDS","0543","0543","0",NA,"1","COMPTROLLER'S ADMINISTRATIVE","D","Special State Funds","1","1","CEMETERY CARE","36",".",NA,0,NA,0,"36"
"71",2022,"0543","360","0046",NA,"9999","CEMETERY CARE",23676.27,"rev_ioc_22.08.01","COMPTROLLER'S ADMINISTRATIVE","COMPTROLLER",NA,NA,"0543","0543","0",NA,"1","COMPTROLLER'S ADMINISTRATIVE","D","Special State Funds","1","1","CEMETERY CARE","36",".",NA,0,NA,0,"36"
"72",2021,"0001","418","0048",NA,NA,"CHILD WELFARE",24916666.63,NA,"GENERAL REVENUE","CHILDREN AND FAMILY SERVICES","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CHILD WELFARE","36",".",NA,0,NA,0,"36"
"73",2021,"0220","418","0048",NA,NA,"CHILD WELFARE",14675041.73,NA,"DCFS CHILDREN'S SERVICES","CHILDREN AND FAMILY SERVICES","D","SPECIAL STATE FUNDS","0220","0220","0",NA,"1","DCFS CHILDREN'S SERVICES","D","Special State Funds","1","1","CHILD WELFARE","36",".",NA,0,NA,0,"36"
"74",2022,"0001","418","0048",NA,"9999","CHILD WELFARE",1.3e+07,"rev_ioc_22.08.01","GENERAL REVENUE","CHILDREN AND FAMILY SERVICES",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CHILD WELFARE","36",".",NA,0,NA,0,"36"
"75",2022,"0220","418","0048",NA,"9999","CHILD WELFARE",6839668.94,"rev_ioc_22.08.01","DCFS CHILDREN'S SERVICES","CHILDREN AND FAMILY SERVICES",NA,NA,"0220","0220","0",NA,"1","DCFS CHILDREN'S SERVICES","D","Special State Funds","1","1","CHILD WELFARE","36",".",NA,0,NA,0,"36"
"76",2021,"0001","492","0049",NA,NA,"CIGARETTE TAX",154020000.56,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"77",2021,"0384","492","0049",NA,NA,"CIGARETTE TAX",834976.38,NA,"TAX COMPLIANCE & ADMIN","REVENUE","D","SPECIAL STATE FUNDS","0384","0384","0",NA,"1","TAX COMPLIANCE & ADMIN","D","Special State Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"78",2021,"0412","492","0049",NA,NA,"CIGARETTE TAX",44584789.39,NA,"COMMON SCHOOL","REVENUE","A","GENERAL FUNDS","0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"79",2021,"0694","492","0049",NA,NA,"CIGARETTE TAX",202657949.21,NA,"CAPITAL PROJECTS","REVENUE","F","DEBT SERVICE FUNDS","0694","0694","0",NA,"1","CAPITAL PROJECTS","F","Debt Service Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"80",2021,"0793","492","0049",NA,NA,"CIGARETTE TAX",202657949.36,NA,"HEALTHCARE PROVIDER RELIEF","REVENUE","D","SPECIAL STATE FUNDS","0793","0793","0",NA,"1","HEALTHCARE PROVIDER RELIEF","D","Special State Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"81",2022,"0001","492","0049",NA,"9999","CIGARETTE TAX",137460027.92,"rev_ioc_22.08.01","GENERAL REVENUE","REVENUE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"82",2022,"0384","492","0049",NA,"9999","CIGARETTE TAX",847500,"rev_ioc_22.08.01","TAX COMPLIANCE & ADMIN","REVENUE",NA,NA,"0384","0384","0",NA,"1","TAX COMPLIANCE & ADMIN","D","Special State Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"83",2022,"0412","492","0049",NA,"9999","CIGARETTE TAX",39791107.41,"rev_ioc_22.08.01","COMMON SCHOOL","REVENUE",NA,NA,"0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"84",2022,"0694","492","0049",NA,"9999","CIGARETTE TAX",180868505.64,"rev_ioc_22.08.01","CAPITAL PROJECTS","REVENUE",NA,NA,"0694","0694","0",NA,"1","CAPITAL PROJECTS","F","Debt Service Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"85",2022,"0793","492","0049",NA,"9999","CIGARETTE TAX",180868505.79,"rev_ioc_22.08.01","HEALTHCARE PROVIDER RELIEF","REVENUE",NA,NA,"0793","0793","0",NA,"1","HEALTHCARE PROVIDER RELIEF","D","Special State Funds","1","1","CIGARETTE TAX","15",".",NA,0,NA,0,"15"
"86",2021,"0001","492","0050",NA,NA,"CIGARETTE USE TAX",63863874.16,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CIGARETTE USE TAX","15",".",NA,0,NA,0,"15"
