"","fy","fund","agency","source","interfund_trans","from_fund","source_name.x","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","revenuesource","total","source_name_AWM","source_name.y","source_name_formula","rev_type","rev_type_name","amnesty","local","type_assigned","source_flag","med_option_recent","rev_type_new"
"11",2021,"0457","416","0120",NA,NA,"INS PREM-OPTIONAL LIFE",21705513.36,NA,"GROUP INSURANCE PREMIUM","CENTRAL MANAGEMENT","I","STATE TRUST FUNDS","0457","0457","0",NA,"1","GROUP INSURANCE PREMIUM","I","State Trust Funds","1","1",NA,NA,"INS PREM-OPTIONAL LIFE","INS PREM-OPTIONAL LIFE","INS PREM-OPTIONAL LIFE","78",".",NA,0,NA,NA,0,"78"
"12",2021,"0457","416","0121",NA,NA,"INS PREM-OPTIONAL LIFE/UNIV",15973339.52,NA,"GROUP INSURANCE PREMIUM","CENTRAL MANAGEMENT","I","STATE TRUST FUNDS","0457","0457","0",NA,"1","GROUP INSURANCE PREMIUM","I","State Trust Funds","1","1",NA,NA,"INS PREM-OPTIONAL LIFE/UNIV","INS PREM-OPTIONAL LIFE/UNIV","INS PREM-OPTIONAL LIFE/UNIV","78",".",NA,0,NA,NA,0,"78"
"13",2021,"0272","497","0275",NA,NA,"INSURANCE CLAIMS REIM",5791.45,NA,"LASALLE VETERANS HOME","VETERANS' AFFAIRS","D","SPECIAL STATE FUNDS","0272","0272","0",NA,"1","LASALLE VETERANS HOME","D","Special State Funds","1","1",NA,NA,"INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","78",".",NA,0,NA,NA,0,"78"
"14",2021,"0273","497","0275",NA,NA,"INSURANCE CLAIMS REIM",2755.75,NA,"ANNA VETERANS HOME","VETERANS' AFFAIRS","D","SPECIAL STATE FUNDS","0273","0273","0",NA,"1","ANNA VETERANS HOME","D","Special State Funds","1","1",NA,NA,"INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","78",".",NA,0,NA,NA,0,"78"
"15",2021,"0619","497","0275",NA,NA,"INSURANCE CLAIMS REIM",110728.36,NA,"QUINCY VETERAN HOME","VETERANS' AFFAIRS","D","SPECIAL STATE FUNDS","0619","0619","0",NA,"1","QUINCY VETERAN HOME","D","Special State Funds","1","1",NA,NA,"INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","78",".",NA,0,NA,NA,0,"78"
"16",2021,"0980","497","0275",NA,NA,"INSURANCE CLAIMS REIM",67405.6,NA,"MANTENO VETERANS HOME","VETERANS' AFFAIRS","D","SPECIAL STATE FUNDS","0980","0980","0",NA,"1","MANTENO VETERANS HOME","D","Special State Funds","1","1",NA,NA,"INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","INSURANCE CLAIMS REIM","78",".",NA,0,NA,NA,0,"78"
"17",2021,"0921","444","0337",NA,NA,"IRS COLLECT/NON-PUBLIC AID",4689322.56,NA,"DHS RECOVERIES TRUST","HUMAN SERVICES","I","STATE TRUST FUNDS","0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1",NA,NA,"IRS COLLECT/NON-PUBLIC AID","IRS COLLECT/NON-PUBLIC AID","IRS COLLECT/NON-PUBLIC AID","78",".",NA,0,NA,NA,0,"78"
"18",2021,"0921","444","0338",NA,NA,"EARNFARE EMPLOYMENT/TRAINING",1407,NA,"DHS RECOVERIES TRUST","HUMAN SERVICES","I","STATE TRUST FUNDS","0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1",NA,NA,"EARNFARE EMPLOYMENT/TRAINING","EARNFARE EMPLOYMENT/TRAINING","EARNFARE EMPLOYMENT/TRAINING","78",".",NA,0,NA,NA,0,"78"
"19",2021,"0457","416","0356",NA,NA,"OPTIONAL LIFE INS-RETIREMENT",11506411.48,NA,"GROUP INSURANCE PREMIUM","CENTRAL MANAGEMENT","I","STATE TRUST FUNDS","0457","0457","0",NA,"1","GROUP INSURANCE PREMIUM","I","State Trust Funds","1","1",NA,NA,"OPTIONAL LIFE INS-RETIREMENT","OPTIONAL LIFE INS-RETIREMENT","OPTIONAL LIFE INS-RETIREMENT","78",".",NA,0,NA,NA,0,"78"
"20",2021,"0001","201","0407",NA,NA,"PRO RATA SHARE EXPENSE/CTYS",170133.4,NA,"GENERAL REVENUE","SUPREME COURT","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1",NA,NA,"PRO RATA SHARE EXPENSE/CTYS","PRO RATA SHARE EXPENSE/CTYS","PRO RATA SHARE EXPENSE/CTYS","78",".",NA,0,NA,NA,0,"78"
"21",2021,"0001","103","0441",NA,NA,"REIMBURSE AUDITS-DPA",302265,NA,"GENERAL REVENUE","AUDITOR GENERAL","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1",NA,NA,"REIMBURSE AUDITS-DPA","REIMBURSE AUDITS-DPA","REIMBURSE AUDITS-DPA","78",".",NA,0,NA,NA,0,"78"
"22",2021,"0342","103","0442",NA,NA,"REIMBURSE AUDITS-LOCAL FUNDS",2580150,NA,"AUDIT EXPENSE","AUDITOR GENERAL","D","SPECIAL STATE FUNDS","0342","0342","0",NA,"1","AUDIT EXPENSE","D","Special State Funds","1","1",NA,NA,"REIMBURSE AUDITS-LOCAL FUNDS","REIMBURSE AUDITS-LOCAL FUNDS","REIMBURSE AUDITS-LOCAL FUNDS","78",".",NA,0,NA,NA,0,"78"
"23",2021,"0523","426","0446",NA,NA,"ELECTRIC DEVICE MONITOR SYS",6200,NA,"DEPT OF CORRECTIONS REIMBURSEM","CORRECTIONS","D","SPECIAL STATE FUNDS","0523","0523","0",NA,"1","DEPT OF CORRECTIONS REIMBURSEM","D","Special State Funds","1","1",NA,NA,"ELECTRIC DEVICE MONITOR SYS","ELECTRIC DEVICE MONITOR SYS","ELECTRIC DEVICE MONITOR SYS","78",".",NA,0,NA,NA,0,"78"
"24",2021,"0523","426","0447",NA,NA,"INMATE MAINTENANCE RECOVERED",72525.29,NA,"DEPT OF CORRECTIONS REIMBURSEM","CORRECTIONS","D","SPECIAL STATE FUNDS","0523","0523","0",NA,"1","DEPT OF CORRECTIONS REIMBURSEM","D","Special State Funds","1","1",NA,NA,"INMATE MAINTENANCE RECOVERED","INMATE MAINTENANCE RECOVERED","INMATE MAINTENANCE RECOVERED","78",".",NA,0,NA,NA,0,"78"
"25",2021,"0523","426","0449",NA,NA,"REIM-LIBRARY CARDS,COPIES",153254.02,NA,"DEPT OF CORRECTIONS REIMBURSEM","CORRECTIONS","D","SPECIAL STATE FUNDS","0523","0523","0",NA,"1","DEPT OF CORRECTIONS REIMBURSEM","D","Special State Funds","1","1",NA,NA,"REIM-LIBRARY CARDS,COPIES","REIM-LIBRARY CARDS,COPIES","REIM-LIBRARY CARDS,COPIES","78",".",NA,0,NA,NA,0,"78"
"26",2021,"0523","425","0450",NA,NA,"OTHER INMATE COSTS RECOVERED",2572.9,NA,"DEPT OF CORRECTIONS REIMBURSEM","JUVENILE JUSTICE","D","SPECIAL STATE FUNDS","0523","0523","0",NA,"1","DEPT OF CORRECTIONS REIMBURSEM","D","Special State Funds","1","1",NA,NA,"OTHER INMATE COSTS RECOVERED","OTHER INMATE COSTS RECOVERED","OTHER INMATE COSTS RECOVERED","78",".",NA,0,NA,NA,0,"78"
"27",2021,"0523","426","0450",NA,NA,"OTHER INMATE COSTS RECOVERED",318048.02,NA,"DEPT OF CORRECTIONS REIMBURSEM","CORRECTIONS","D","SPECIAL STATE FUNDS","0523","0523","0",NA,"1","DEPT OF CORRECTIONS REIMBURSEM","D","Special State Funds","1","1",NA,NA,"OTHER INMATE COSTS RECOVERED","OTHER INMATE COSTS RECOVERED","OTHER INMATE COSTS RECOVERED","78",".",NA,0,NA,NA,0,"78"
"28",2021,"0001","691","0457",NA,NA,"REPAY TEACHERS SCHOLARSHIPS",912432.48,NA,"GENERAL REVENUE","IL STUDENT ASSISTANCE COMM","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1",NA,NA,"REPAY TEACHERS SCHOLARSHIPS","REPAY TEACHERS SCHOLARSHIPS","REPAY TEACHERS SCHOLARSHIPS","78",".",NA,0,NA,NA,0,"78"
"29",2021,"0092","691","0457",NA,NA,"REPAY TEACHERS SCHOLARSHIPS",270,NA,"FEDERAL CONGRESS TEACHR SCHL","IL STUDENT ASSISTANCE COMM","G","FEDERAL TRUST FUNDS","0092","0092","0",NA,"1","FEDERAL CONGRESS TEACHR SCHL","G","Federal Trust Funds","1","1",NA,NA,"REPAY TEACHERS SCHOLARSHIPS","REPAY TEACHERS SCHOLARSHIPS","REPAY TEACHERS SCHOLARSHIPS","78",".",NA,0,NA,NA,0,"78"
"30",2021,"0242","691","0457",NA,NA,"REPAY TEACHERS SCHOLARSHIPS",44906.91,NA,"ISAC ACCOUNTS RECEIVABLE","IL STUDENT ASSISTANCE COMM","D","SPECIAL STATE FUNDS","0242","0242","0",NA,"1","ISAC ACCOUNTS RECEIVABLE","D","Special State Funds","1","1",NA,NA,"REPAY TEACHERS SCHOLARSHIPS","REPAY TEACHERS SCHOLARSHIPS","REPAY TEACHERS SCHOLARSHIPS","78",".",NA,0,NA,NA,0,"78"
"31",2021,"0137","422","0515",NA,NA,"SURETY  BOND  FORFEITURES",28000,NA,"PLUGGING & RESTORATION","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0137","0137","0",NA,"1","PLUGGING & RESTORATION","D","Special State Funds","1","1",NA,NA,"SURETY  BOND  FORFEITURES","SURETY  BOND  FORFEITURES","SURETY  BOND  FORFEITURES","78",".",NA,0,NA,NA,0,"78"
"32",2021,"0101","370","0570",NA,NA,"ACCRUED INTEREST ON BOND SALE",85399.37,NA,"GENERAL OBLIGATION BR&I","TREASURER","F","DEBT SERVICE FUNDS","0101","0101","0",NA,"1","GENERAL OBLIGATION BR&I","F","Debt Service Funds","1","1",NA,NA,"ACCRUED INTEREST ON BOND SALE","ACCRUED INTEREST ON BOND SALE","ACCRUED INTEREST ON BOND SALE","78",".",NA,0,NA,NA,0,"78"
"33",2021,"0001","360","0581",NA,NA,"CONTRIB STATE/ST OFFICERS",6765.14,NA,"GENERAL REVENUE","COMPTROLLER","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1",NA,NA,"CONTRIB STATE/ST OFFICERS","CONTRIB STATE/ST OFFICERS","CONTRIB STATE/ST OFFICERS","78",".",NA,0,NA,NA,0,"78"
"34",2021,"0246","493","0582",NA,NA,"COURT & ANTI-TRUST DIST",109130.14,NA,"STATE POLICE VEHICLE","STATE POLICE","D","SPECIAL STATE FUNDS","0246","0246","0",NA,"1","STATE POLICE VEHICLE","D","Special State Funds","1","1",NA,NA,"COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","78",".",NA,0,NA,NA,0,"78"
"35",2021,"0703","340","0582",NA,NA,"COURT & ANTI-TRUST DIST",14857640.2,NA,"STATE WHISTLEBLOWER REWARD","ATTORNEY GENERAL","I","STATE TRUST FUNDS","0703","0703","0",NA,"1","STATE WHISTLEBLOWER REWARD","I","State Trust Funds","1","1",NA,NA,"COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","78",".",NA,0,NA,NA,0,"78"
"36",2021,"0801","340","0582",NA,NA,"COURT & ANTI-TRUST DIST",8615378.56,NA,"AG'S ST PROJ & CRT ORDER DIST","ATTORNEY GENERAL","D","SPECIAL STATE FUNDS","0801","0801","0",NA,"1","AG STATE PROJ & CRT ORDER DIST","I","State Trust Funds","1","1",NA,NA,"COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","78",".",NA,0,NA,NA,0,"78"
"37",2021,"0828","532","0582",NA,NA,"COURT & ANTI-TRUST DIST",11152.76,NA,"HAZARDOUS WASTE","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0828","0828","0",NA,"1","HAZARDOUS WASTE","D","Special State Funds","1","1",NA,NA,"COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","78",".",NA,0,NA,NA,0,"78"
"38",2021,"0831","422","0582",NA,NA,"COURT & ANTI-TRUST DIST",217472.33,NA,"NATURAL RESOURCES RESTORATION","NATURAL RESOURCES","I","STATE TRUST FUNDS","0831","0831","0",NA,"1","NATURAL RESOURCES RESTORATION","I","State Trust Funds","1","1",NA,NA,"COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","78",".",NA,0,NA,NA,0,"78"
"39",2021,"0909","422","0582",NA,NA,"COURT & ANTI-TRUST DIST",186265,NA,"IL WILDLIFE PRESERVATION","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1",NA,NA,"COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","78",".",NA,0,NA,NA,0,"78"
"40",2021,"0990","340","0582",NA,NA,"COURT & ANTI-TRUST DIST",11.5,NA,"AG CT ORDERED SETTLEMNT DISTRB","ATTORNEY GENERAL","I","STATE TRUST FUNDS","0990","0990","0",NA,"1","AG CT ORDERED SETTLEMNT DISTRB","I","State Trust Funds","1","1",NA,NA,"COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","COURT & ANTI-TRUST DIST","78",".",NA,0,NA,NA,0,"78"
"41",2021,"0801","340","0585",NA,NA,"COURT DIST/CHARITABLE TRUST",1.66,NA,"AG'S ST PROJ & CRT ORDER DIST","ATTORNEY GENERAL","D","SPECIAL STATE FUNDS","0801","0801","0",NA,"1","AG STATE PROJ & CRT ORDER DIST","I","State Trust Funds","1","1",NA,NA,"COURT DIST/CHARITABLE TRUST","COURT DIST/CHARITABLE TRUST","COURT DIST/CHARITABLE TRUST","78",".",NA,0,NA,NA,0,"78"
"42",2021,"0990","340","0585",NA,NA,"COURT DIST/CHARITABLE TRUST",30000,NA,"AG CT ORDERED SETTLEMNT DISTRB","ATTORNEY GENERAL","I","STATE TRUST FUNDS","0990","0990","0",NA,"1","AG CT ORDERED SETTLEMNT DISTRB","I","State Trust Funds","1","1",NA,NA,"COURT DIST/CHARITABLE TRUST","COURT DIST/CHARITABLE TRUST","COURT DIST/CHARITABLE TRUST","78",".",NA,0,NA,NA,0,"78"
"43",2021,"0801","340","0587",NA,NA,"COURT DIST/ENVIRONMENTAL",1357.07,NA,"AG'S ST PROJ & CRT ORDER DIST","ATTORNEY GENERAL","D","SPECIAL STATE FUNDS","0801","0801","0",NA,"1","AG STATE PROJ & CRT ORDER DIST","I","State Trust Funds","1","1",NA,NA,"COURT DIST/ENVIRONMENTAL","COURT DIST/ENVIRONMENTAL","COURT DIST/ENVIRONMENTAL","78",".",NA,0,NA,NA,0,"78"
"44",2021,"0001","452","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",391090.68,NA,"GENERAL REVENUE","LABOR","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"45",2021,"0001","567","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",837775,NA,"GENERAL REVENUE","LIQUOR CONTROL COMM","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"46",2021,"0021","440","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",2010545,NA,"FINANCIAL INSTITUTION","FINANCIAL AND PROFESSIONAL REG","D","SPECIAL STATE FUNDS","0021","0021","0",NA,"1","FINANCIAL INSTITUTION","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"47",2021,"0022","440","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",218356.74,NA,"GENERAL PROFESSIONS DEDICATED","FINANCIAL AND PROFESSIONAL REG","D","SPECIAL STATE FUNDS","0022","0022","0",NA,"1","GENERAL PROFESSIONS DEDICATED","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"48",2021,"0044","350","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",156700,NA,"LOBBYIST REGISTRATION ADMIN","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0044","0044","0",NA,"1","LOBBYIST REGISTRATION ADMIN","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"49",2021,"0052","427","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",17670.15,NA,"FEDERAL TITLE III SS & EMPLOY","EMPLOYMENT SECURITY","G","FEDERAL TRUST FUNDS","0052","0052","0",NA,"1","FEDERAL TITLE III SS & EMPLOY","G","Federal Trust Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"50",2021,"0057","440","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",65823.3,NA,"IL STATE PHARMACY DISCIPLINARY","FINANCIAL AND PROFESSIONAL REG","D","SPECIAL STATE FUNDS","0057","0057","0",NA,"1","IL STATE PHARMACY DISCIPLINARY","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"51",2021,"0063","482","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",884521.53,NA,"PUBLIC HEALTH SERVICES","PUBLIC HEALTH","G","FEDERAL TRUST FUNDS","0063","0063","0",NA,"1","PUBLIC HEALTH SERVICES","G","Federal Trust Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"52",2021,"0067","588","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",13242.15,NA,"RADIATION PROTECTION","IL EMERGENCY MANAGEMENT AGCY","D","SPECIAL STATE FUNDS","0067","0067","0",NA,"1","RADIATION PROTECTION","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"53",2021,"0075","440","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",258350,NA,"COMPASSION USE MED CANNABIS","FINANCIAL AND PROFESSIONAL REG","D","SPECIAL STATE FUNDS","0075-B","0075","2",NA,"1","COMPASSION USE MED CANNABIS","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"54",2021,"0093","440","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",368992.22,NA,"IL STATE MEDICAL DISCIPLINARY","FINANCIAL AND PROFESSIONAL REG","D","SPECIAL STATE FUNDS","0093","0093","0",NA,"1","IL STATE MEDICAL DISCIPLINARY","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"55",2021,"0127","524","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",732394.7,NA,"IL UNDERGROUND UTL FAC DAMAGE","IL COMMERCE COMMISSION","D","SPECIAL STATE FUNDS","0127","0127","0",NA,"1","IL UNDERGROUND UTL FAC DAMAGE","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"56",2021,"0145","422","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",13700,NA,"EXPLOSIVES REGULATORY","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0145","0145","0",NA,"1","EXPLOSIVES REGULATORY","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"57",2021,"0147","422","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",172935,NA,"COAL MINING REGULATORY","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0147","0147","0",NA,"1","COAL MINING REGULATORY","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"58",2021,"0151","440","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",4790.69,NA,"REG CPA ADMIN & DISCIPLINARY","FINANCIAL AND PROFESSIONAL REG","D","SPECIAL STATE FUNDS","0151","0151","0",NA,"1","REG CPA ADMIN & DISCIPLINARY","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"59",2021,"0163","406","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",30797.5,NA,"WEIGHTS & MEASURES","AGRICULTURE","D","SPECIAL STATE FUNDS","0163","0163","0",NA,"1","WEIGHTS & MEASURES","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
"60",2021,"0175","482","0780",NA,NA,"FINES/PENALTY OR VIOLATIONS",6586.62,NA,"IL SCHOOL ASBESTOS  ABATEMENT","PUBLIC HEALTH","D","SPECIAL STATE FUNDS","0175","0175","0",NA,"1","IL SCHOOL ASBESTOS  ABATEMENT","D","Special State Funds","1","1",NA,NA,"FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","FINES/PENALTY OR VIOLATIONS","78",".",NA,0,NA,NA,0,"78"
