fy,fund,agency,source,interfund_trans,from_fund,source_name.x,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,revenuesource,total,source_name_AWM,source_name.y,source_name_formula,rev_type,rev_type_name,amnesty,local,type_assigned,source_flag,med_option_recent,rev_type_new
2022,0001,492,0037,NA,9999,BINGO LICENSE FEES,104631.95,rev_ioc_22.08.01,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
1998,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,45450,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
1999,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,43000,rev_IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2000,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,39200,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2001,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,32350,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2002,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,35750,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2003,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,36200,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2004,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,39600,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2005,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,47200,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2006,0085,492,0039,0,.,CHARITABLE GAME LICENSE FEES,57200,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2007,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,59850,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2008,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,60800,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2009,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,69300,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2010,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,78000,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2011,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,68750,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2012,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,62850,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2013,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,58450,rev IOC 13.08.02,NA,NA,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2014,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,90050,rev IOC 15.09.28,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2015,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,78028,rev ioc 16.01.07,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2016,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,91585,rev ioc 16.08.04,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2017,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,69350,rev ioc 17.11.29,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2018,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,87025,NA,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2019,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,79975.2,rev ioc 12.11.2019,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2020,0085,492,0039,0,9999,CHARITABLE GAME LICENSE FEES,61875,rev ioc 03.11.2020,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2021,0085,492,0039,NA,NA,CHARITABLE GAME LICENSE FEES,53250,NA,IL GAMING LAW ENFORCEMENT,REVENUE,D,SPECIAL STATE FUNDS,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
2022,0085,492,0039,NA,9999,CHARITABLE GAME LICENSE FEES,76800,rev_ioc_22.08.01,IL GAMING LAW ENFORCEMENT,REVENUE,NA,NA,0085,0085,0,NA,1,IL GAMING LAW ENFORCEMENT,D,Special State Funds,1,1,NA,NA,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,CHARITABLE GAME LICENSE FEES,39,.,NA,0,NA,NA,0,39
1998,0047,592,0044,0,.,BOILER INSPECTION FEES,1413794.19,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
1999,0047,592,0044,0,.,BOILER INSPECTION FEES,1393356.77,rev_IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2000,0047,592,0044,0,.,BOILER INSPECTION FEES,1439806.34,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2001,0047,592,0044,0,.,BOILER INSPECTION FEES,1423311.05,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2002,0047,592,0044,0,.,BOILER INSPECTION FEES,1619064.79,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2003,0047,592,0044,0,.,BOILER INSPECTION FEES,2126716.3,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2004,0001,592,0044,0,.,BOILER INSPECTION FEES,898907.5,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2004,0047,592,0044,0,.,BOILER INSPECTION FEES,1975469.61,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2005,0001,592,0044,0,.,BOILER INSPECTION FEES,1506805,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2005,0047,592,0044,0,.,BOILER INSPECTION FEES,2145559.34,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2006,0001,592,0044,0,.,BOILER INSPECTION FEES,1526840,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2006,0047,592,0044,0,.,BOILER INSPECTION FEES,2297504.06,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2007,0001,592,0044,0,9999,BOILER INSPECTION FEES,1254012.83,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2007,0047,592,0044,0,9999,BOILER INSPECTION FEES,1938445.11,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2008,0001,592,0044,0,9999,BOILER INSPECTION FEES,1859666.21,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2008,0047,592,0044,0,9999,BOILER INSPECTION FEES,2741590.86,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2009,0001,592,0044,0,9999,BOILER INSPECTION FEES,1580208.45,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2009,0047,592,0044,0,9999,BOILER INSPECTION FEES,2438806.71,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2010,0001,592,0044,0,9999,BOILER INSPECTION FEES,1495360.92,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2010,0047,592,0044,0,9999,BOILER INSPECTION FEES,2384903.02,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2011,0001,592,0044,0,9999,BOILER INSPECTION FEES,1561859.41,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2011,0047,592,0044,0,9999,BOILER INSPECTION FEES,2330674.82,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2012,0001,592,0044,0,9999,BOILER INSPECTION FEES,1538758.6,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2012,0047,592,0044,0,9999,BOILER INSPECTION FEES,2338719.64,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2013,0001,592,0044,0,9999,BOILER INSPECTION FEES,1502765,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2013,0047,592,0044,0,9999,BOILER INSPECTION FEES,2129218.78,rev IOC 13.08.02,NA,NA,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2014,0001,592,0044,0,9999,BOILER INSPECTION FEES,1569260,rev IOC 15.09.28,GENERAL REVENUE,OFFICE OF THE STATE FIRE MARSH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
2014,0047,592,0044,0,9999,BOILER INSPECTION FEES,2310676.38,rev IOC 15.09.28,FIRE PREVENTION,OFFICE OF THE STATE FIRE MARSH,NA,NA,0047,0047,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,NA,NA,BOILER INSPECTION FEES,BOILER INSPECTION FEES,BOILER INSPECTION FEES,39,.,NA,0,NA,NA,0,39
