fy,fund,fund_name,agency,agency_name,appr_org,org_name,obj_seq_type,appn_net_xfer,expenditure,data_source,object,category,sequence,type,trans_agency,trans_type,wh_approp_name,fund_cat,fund_cat_name.x,expenditurethrough6302022,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,refund,pension,eehc,group,group_name,year
2005,0001,GENERAL REVENUE,628,WESTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1744800,1744800,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2005
2005,0001,GENERAL REVENUE,636,ILLINOIS STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,3078300,3078300,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2005
2005,0001,GENERAL REVENUE,644,NORTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,2337300,2337300,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2005
2005,0001,GENERAL REVENUE,664,SOUTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,3698300,3698300,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2005
2005,0001,GENERAL REVENUE,676,UNIVERSITY OF ILLINOIS,01,GENERAL OPERATIONS,11800000,24893200,24893200,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2005
2005,0001,GENERAL REVENUE,693,STATE UNIV RETIREMENT SYS,01,GENERAL OFFICE,11800000,3268700,3268700,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,948,OTHER DEPARTMENTS,2005
2006,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,36924200,0,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2006
2006,0001,GENERAL REVENUE,478,HEALTHCARE & FAMILY SERVICES,80,EMPLOYEE HEALTH INSURANCE,11800000,1025358900,0,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,478,478,2006
2006,0001,GENERAL REVENUE,608,CHICAGO STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,512000,512000,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2006
2006,0001,GENERAL REVENUE,620,NORTHEASTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1072600,1072600,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2006
2006,0001,GENERAL REVENUE,628,WESTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1744800,1744800,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2006
2006,0001,GENERAL REVENUE,636,ILLINOIS STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,3078300,3078300,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2006
2006,0001,GENERAL REVENUE,644,NORTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,2337300,2337300,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2006
2006,0001,GENERAL REVENUE,664,SOUTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,3698300,3698300,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2006
2006,0001,GENERAL REVENUE,676,UNIVERSITY OF ILLINOIS,01,GENERAL OPERATIONS,11800000,24893200,24893200,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2006
2006,0001,GENERAL REVENUE,693,STATE UNIV RETIREMENT SYS,01,GENERAL OFFICE,11800000,3392000,3392000,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,948,OTHER DEPARTMENTS,2006
2007,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,32349200,0,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2007
2007,0001,GENERAL REVENUE,478,HEALTHCARE & FAMILY SERVICES,80,EMPLOYEE HEALTH INSURANCE,11800000,1065037500,0,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,478,478,2007
2007,0001,GENERAL REVENUE,608,CHICAGO STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,1024000,1024000,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2007
2007,0001,GENERAL REVENUE,620,NORTHEASTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1072600,1072600,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2007
2007,0001,GENERAL REVENUE,628,WESTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1744800,1744800,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2007
2007,0001,GENERAL REVENUE,636,ILLINOIS STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,3078300,3078300,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2007
2007,0001,GENERAL REVENUE,644,NORTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,2337300,2337300,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2007
2007,0001,GENERAL REVENUE,664,SOUTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,3662100,3662100,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2007
2007,0001,GENERAL REVENUE,676,UNIVERSITY OF ILLINOIS,01,GENERAL OPERATIONS,11800000,24893200,24893200,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2007
2007,0001,GENERAL REVENUE,693,STATE UNIV RETIREMENT SYS,01,GENERAL OFFICE,11800000,3706728,3706728,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,948,OTHER DEPARTMENTS,2007
2008,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,29349200,0,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2008
2008,0001,GENERAL REVENUE,478,HEALTHCARE & FAMILY SERVICES,80,EMPLOYEE HEALTH INSURANCE,11800000,1055037500,0,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,478,478,2008
2008,0001,GENERAL REVENUE,608,CHICAGO STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,1024000,1024000,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2008
2008,0001,GENERAL REVENUE,620,NORTHEASTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1072600,1072600,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2008
2008,0001,GENERAL REVENUE,628,WESTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1744800,1744800,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2008
2008,0001,GENERAL REVENUE,636,ILLINOIS STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,3078300,3078300,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2008
2008,0001,GENERAL REVENUE,644,NORTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,2337300,2337300,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2008
2008,0001,GENERAL REVENUE,664,SOUTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,3662100,3662100,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2008
2008,0001,GENERAL REVENUE,676,UNIVERSITY OF ILLINOIS,01,GENERAL OPERATIONS,11800000,24893200,24893200,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2008
2008,0001,GENERAL REVENUE,693,STATE UNIV RETIREMENT SYS,01,GENERAL OFFICE,11800000,4740200,4740200,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,948,OTHER DEPARTMENTS,2008
2009,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,24818800,0,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2009
2009,0001,GENERAL REVENUE,478,HEALTHCARE & FAMILY SERVICES,80,EMPLOYEE HEALTH INSURANCE,11800000,1057891000,0,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,478,478,2009
2009,0001,GENERAL REVENUE,608,CHICAGO STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,1024000,512000,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2009
2009,0001,GENERAL REVENUE,620,NORTHEASTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1072600,1072600,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2009
2009,0001,GENERAL REVENUE,628,WESTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1744800,1744800,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2009
2009,0001,GENERAL REVENUE,636,ILLINOIS STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,3078300,3078300,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2009
2009,0001,GENERAL REVENUE,644,NORTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,2337300,2278900,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2009
2009,0001,GENERAL REVENUE,664,SOUTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,3662100,3662100,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2009
2009,0001,GENERAL REVENUE,676,UNIVERSITY OF ILLINOIS,01,GENERAL OPERATIONS,11800000,24893200,24893200,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2009
2012,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,24021000,0,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2012
2012,0001,GENERAL REVENUE,478,HEALTHCARE & FAMILY SERVICES,80,EMPLOYEE HEALTH INSURANCE,11800000,1411510900,0,exp IOC 13.08.09,1180,1,00,00,.,.,PROVISION OF HLTHCARE COVERAGE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,478,478,2012
2013,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,1450000000,0,exp IOC 14.09.08,1180,1,00,00,.,.,PROVISION OF HLTHCARE COVERAGE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2013
2014,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,1446000000,0,exp IOC 15.04.28,1180,1,00,00,.,.,PROVISION OF HLTHCARE COVERAGE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2014
2015,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,1565374200,0,exp ioc 16.01.07,1180,1,00,00,.,.,PROVISION OF HLTHCARE COVERAGE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2015
2018,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,1876177928,0,NA,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2018
2019,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,2030000000,0,exp ioc 12.11.2019,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2019
2020,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,2027981200,0,exp ioc 03.11.2020,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2020
2021,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,19000000,2021513100,0,NA,1900,1,00,00,.,.,GROUP INSURANCE,A,GENERAL FUNDS,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2021
2022,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,19000000,2756744600,0,exp_ioc_22.08.01,1900,1,00,00,.,.,GROUP INSURANCE,NA,NA,2749744600,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2022
2013,0007,EDUCATION ASSISTANCE,608,CHICAGO STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,1024000,1024000,exp IOC 14.09.08,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2013
2013,0007,EDUCATION ASSISTANCE,616,GOVERNORS STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,656200,656200,exp IOC 14.09.08,1180,1,00,00,.,.,FOR GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2013
2013,0007,EDUCATION ASSISTANCE,620,NORTHEASTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1072600,1072600,exp IOC 14.09.08,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2013
2013,0007,EDUCATION ASSISTANCE,628,WESTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1744800,1744800,exp IOC 14.09.08,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2013
2013,0007,EDUCATION ASSISTANCE,644,NORTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,2337300,2337300,exp IOC 14.09.08,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2013
2013,0007,EDUCATION ASSISTANCE,664,SOUTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,3060000,3060000,exp IOC 14.09.08,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2013
2013,0007,EDUCATION ASSISTANCE,676,UNIVERSITY OF ILLINOIS,01,GENERAL OPERATIONS,11800000,24893200,24893200,exp IOC 14.09.08,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2013
2014,0007,EDUCATION ASSISTANCE,608,CHICAGO STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,1024000,1024000,exp IOC 15.04.28,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2014
2014,0007,EDUCATION ASSISTANCE,616,GOVERNORS STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,656200,656200,exp IOC 15.04.28,1180,1,00,00,.,.,FOR GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2014
2014,0007,EDUCATION ASSISTANCE,620,NORTHEASTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1072600,1072600,exp IOC 15.04.28,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2014
2014,0007,EDUCATION ASSISTANCE,628,WESTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1744800,1744800,exp IOC 15.04.28,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2014
2014,0007,EDUCATION ASSISTANCE,644,NORTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,2337300,2337300,exp IOC 15.04.28,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2014
2014,0007,EDUCATION ASSISTANCE,664,SOUTHERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,3060000,3060000,exp IOC 15.04.28,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2014
2014,0007,EDUCATION ASSISTANCE,676,UNIVERSITY OF ILLINOIS,01,GENERAL OPERATIONS,11800000,24893200,24893200,exp IOC 15.04.28,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2014
2015,0007,EDUCATION ASSISTANCE,608,CHICAGO STATE UNIVERSITY,01,GENERAL OPERATIONS,11800000,1001000,1001000,exp ioc 16.01.07,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,NA,0007,0007,0,NA,1,EDUCATION ASSISTANCE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2015
